DATETIMEDATA,PM25,O3,WS,RH,WD,prediction_label
2024-02-20 09:00:00,14.4,18.0,1,76,108,28.0
2024-02-21 09:00:00,17.5,17.0,1,76,106,27.916666666666668
2024-02-22 09:00:00,14.0,18.0,0,76,104,27.88888888888889
2024-02-23 09:00:00,13.6,18.0,1,74,96,28.0
2024-02-24 09:00:00,14.4,17.0,1,78,94,27.41176470588235
2024-02-25 09:00:00,13.2,18.0,1,78,102,27.46153846153846
2024-02-26 09:00:00,13.5,15.0,0,78,102,27.25
2024-02-27 09:00:00,19.7,14.0,1,76,96,28.0
2024-02-28 09:00:00,19.0,18.0,1,71,112,29.0
2024-02-29 09:00:00,13.5,22.0,1,57,136,31.0
2024-03-01 09:00:00,14.4,22.0,1,55,147,32.0
2024-03-02 09:00:00,14.7,24.0,2,55,139,32.0
2024-03-03 09:00:00,10.6,23.0,1,52,155,33.0
2024-03-04 09:00:00,11.9,20.0,1,57,169,33.0
2024-03-05 09:00:00,9.8,19.0,1,60,157,31.0
2024-03-06 09:00:00,8.5,18.0,1,60,177,31.0
2024-03-07 09:00:00,12.7,15.0,1,65,144,30.0
2024-03-08 09:00:00,14.1,18.0,1,69,126,29.0
2024-03-09 09:00:00,20.0,17.0,1,74,119,28.8
2024-03-10 09:00:00,18.8,17.0,1,77,110,27.88888888888889
2024-03-11 09:00:00,19.8,26.0,1,78,112,27.714285714285715
2024-03-12 09:00:00,23.5,26.0,1,78,115,27.714285714285715
2024-03-13 09:00:00,13.0,15.0,1,78,117,27.636363636363637
2024-03-14 09:00:00,11.3,15.0,1,78,111,27.470588235294116
2024-03-15 09:00:00,15.2,9.0,0,83,111,27.083333333333332
2024-03-16 09:00:00,19.2,7.0,0,85,107,27.083333333333332
2024-03-17 09:00:00,11.8,8.0,0,87,107,27.0
2024-03-18 09:00:00,14.3,7.0,0,87,107,27.0
2024-03-19 09:00:00,18.9,4.0,0,88,106à¸Ÿ,26.0
2024-03-20 09:00:00,26.2,3.0,0,89,106,26.0
2024-03-21 09:00:00,28.9,6.0,0,85,105,27.083333333333332
2024-03-22 09:00:00,31.4,18.0,1,69,112,29.0
2024-03-23 09:00:00,19.0,25.0,1,62,93,31.0
